Emission Factor Title,Sector,Unit Type,Emission Factor,Source
Aluminous cement,Materials and Manufacturing,kg/kg,2.11,CBAM
Calcined clay,Materials and Manufacturing,kg/kg,0.4,CBAM
CEM I grey (portland cement),Materials and Manufacturing,kg/kg,0.96,CBAM
CEM I white (portland cement),Materials and Manufacturing,kg/kg,1.42,CBAM
Grey clinker,Materials and Manufacturing,kg/kg,0.94,CBAM
Other grey cements,Materials and Manufacturing,kg/kg,0.69,CBAM
Other white cements,Materials and Manufacturing,kg/kg,1.02,CBAM
White clinker,Materials and Manufacturing,kg/kg,1.4,CBAM
Ammonia,Materials and Manufacturing,kg/kg,3.88,CBAM
Ammonium nitrate,Materials and Manufacturing,kg/kg,3.16,CBAM
Ammonium nitrate - CaCO3 or inorganic non-fertilisers,Materials and Manufacturing,kg/kg,2.1,CBAM
Ammonium sulphate,Materials and Manufacturing,kg/kg,1.15,CBAM
Diammonium phosphate,Materials and Manufacturing,kg/kg,0.93,CBAM
Double salts ammonium sulphate / nitrate,Materials and Manufacturing,kg/kg,1.96,CBAM
Double salts mixtures ammonium sulphate / nitrate,Materials and Manufacturing,kg/kg,2.56,CBAM
Fertilisers containing NPK,Materials and Manufacturing,kg/kg,1.43,CBAM
Mixes of urea and ammonium nitrate,Materials and Manufacturing,kg/kg,2.21,CBAM
Monoammonium phosphate,Materials and Manufacturing,kg/kg,0.6,CBAM
Nitrates of potassium,Materials and Manufacturing,kg/kg,2.67,CBAM
Nitric acid sulphonitric acids,Materials and Manufacturing,kg/kg,2.99,CBAM
Other NP fertilisers,Materials and Manufacturing,kg/kg,1.93,CBAM
Other NP fertilisers (excl. nitrates phosphates),Materials and Manufacturing,kg/kg,1.93,CBAM
Sodium nitrate,Materials and Manufacturing,kg/kg,4.66,CBAM
Urea,Materials and Manufacturing,kg/kg,2.51,CBAM
Biodiesel,Energy,kg/tonne,2.68,CBAM
Biodiesel (net CV),Energy,kg/GJ,0.2668,CBAM
Biogasoline,Energy,kg/tonne,1.912,CBAM
Biogasoline (net CV),Energy,kg/GJ,0.2545,CBAM
Bitumen,Energy,kg/tonne,3.244,CBAM
Blast furnace gas,Energy,kg/GJ,0.8426,CBAM
Carbon monoxide,Energy,kg/tonne,1.568,CBAM
